Poem Name,Poet,Line,Metaphor present or not,count of the metaphor,metaphorical terms,year,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,සියවසෙන් සියවස,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,මල් කැටයම් බර කළ,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,වදන් කැටයම් තුළ,yes,1,වදන් කැටයම් තුළ,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,නිදන් කළ වදන් නැති කවියකි,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,බර පොත් පිටු අතර,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,කුස තණ අට මිටක් මත,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,හිඳ එකලාව අරණක,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,මදහස නැගු මිනිසෙකි,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,පියුම්‚ විදුරසුන් පිට හිඳුවා,yes,1,පියුම්‚ විදුරසුන් පිට හිඳුවා,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,බඔයෙන් බඔය උස් කර,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,ලැකර් ගා නෙත් අඳ කළ,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,සොඳ සුවඳ මල් වැසි මැද,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,ගිගුම් දෙන වන්දනා නද තුළ,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,දැවෙද්දිත් අපමණ පහන් තිර,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,නොපෙනී අතුරුදන් කළ,no,,,1974,,,,
අතුරුදහන් කළ මිනිසෙක්,සෝමවීර,මිනිසෙකි සරල‚ සුන්දර,yes,1,මිනිසෙකි සරල‚ සුන්දර,1974,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,සමන් පිච්ච මල් ඉහුරුණු,yes,1,සමන් පිච්ච මල් ඉහුරුණු,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,නිල් තණකොළ පිට්ටනියක්,yes,1,නිල් තණකොළ පිට්ටනියක්,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,වගෙයි අහස අන්න බලනු,yes,1,වගෙයි අහස අන්න බලනු,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,කොච්චර ලස්සනද රෑට,yes,1,කොච්චර ලස්සනද රෑට,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,බකමූණෝ පියාඔති ,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,අනික් කුරුල්ලෝ නිදතී,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,බෝ අතුවල එල්ලීගෙන ,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,මාවවුලෝ කෑ ගසතී,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,මගෙ හුරතල් අක්කාගේ,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,මාලේ මුතු ඇට වාගේ,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,මේ වැටෙන්නේ පිනි බින්දුත්,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,හදමු එකක් එ් වගේ,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,හඳහාමී අප දිහාව,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,එබී බලයි පා හිනාව,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,සිහිල් සුළං දැල් විඳින්ට,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,දොරට යන්ට හොඳ වෙලාව,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,අහසේ තරු වැල් පිරිලා,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,පොළොවේ සුදු මල් පපිලා,yes,1,පොළොවේ සුදු මල් පපිලා,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,මඟුල් ගෙවල් දෙකක් වගෙයි,no,,,1986,,,,
රාත්‍රිය,එස්. මහින්ද හිමි,මේ දෙපළ ම හැඩ ගැහිලා,no,,,1986,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,සුදෝ සුදු මැ වළාකුළෙහි,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,ඇයි මේ සිල් ගත්තා වැනි,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,මඟුලට කඳු නොනිසි බැවිනි,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,විස හැර අපි යමු මෙලෙසිනි,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,ඉරු දෙවි බබළවයි පහන,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,වලා ඉහළ කෙරෙසි විසන,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,දිසාවෙනැ සී මේ හිරු එන්නෙ පායා,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,හැරි සිටියක් පූරියනක් ගසේ මල්,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,රැසුවි දිලෙන්නේ ලනු මෙන් අැදිලා,no,,,1922,,,,
සුදෝ සුදු මැ වළාකුළෙහි,කුමාරතුංග මුනිදාස,මගුල් ගෙයක් දෝ ලොව මේ වෙලාවේ,yes,1,මගුල් ගෙයක් දෝ ලොව මේ වෙලාවේ,1922,,,,
සමනොළ මුහුළ මහ සමුදුර මෙවුල් බ ර,Unknown,සමනොළ මුහුළ මහ සමුදුර මෙවුල් බ ර,yes,1,සමනොළ මුහුළ මහ සමුදුර මෙවුල් බ ර,1908,,,,
සමනොළ මුහුළ මහ සමුදුර මෙවුල් බ ර,Unknown,සු ල ක ළ පුවළ ලකඟන සිරි යොවුන් ව ර,no,,,1908,,,,
සමනොළ මුහුළ මහ සමුදුර මෙවුල් බ ර,Unknown,ත ර ක ළ විසල් වාසල් යතුරු මෙ නුව ර,no,,,1908,,,,
සමනොළ මුහුළ මහ සමුදුර මෙවුල් බ ර,Unknown,බැ ඳ හ ළ රුවන් තනපට කියෙලිය පවු ර,no,,,1908,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,කෙස්ස උස්කරන් බැඳගෙන - රෙද්ද තද කරන් ඇඳගෙන,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,රතු බුනීල මල් පෙති බිම අතුරපු දේවී,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,සත්තුක නිදි ඇඳ වටේට - තුන් වටයක් පැදකුණු කර,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,මන්න පාර හතක් දීපු කුණ්ඩලකේසී,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,මාල කඩනවා සත්තුක - කංසා බෙදනවා සත්තුක,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,රාජ පුරුෂයන් නිතරම පැලට පනීවී,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,බතක් මාළුවක් බැඳගෙන - පියාඹා ගිහින් වැලිකඩ,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,කසෙන් තැලුම් කෑ සත්තුක සනසපු දේවී,no,,,1870,,,,
